Unnamed: 0,Date,Open,High,Low,Close,Volume
3780,2024-09-17 10:30:00,1149.15,1150.1,1147.7,1149.3,36000
3781,2024-09-17 10:45:00,1149.2,1149.7,1148.3,1149.5,28800
3782,2024-09-17 11:00:00,1149.5,1149.6,1147.35,1147.6,30600
3783,2024-09-17 11:15:00,1148.05,1149.1,1147.0,1149.1,21600
3784,2024-09-17 11:30:00,1149.15,1151.45,1149.15,1149.4,54000
3785,2024-09-17 11:45:00,1149.35,1150.4,1147.85,1149.9,31500
3786,2024-09-17 12:00:00,1150.5,1150.55,1147.6,1147.6,28800
3787,2024-09-17 12:15:00,1148.1,1148.6,1146.9,1148.05,36000
3788,2024-09-17 12:30:00,1148.15,1148.15,1146.95,1148.05,26100
3789,2024-09-17 12:45:00,1147.85,1149.4,1147.75,1148.7,32400
3790,2024-09-17 13:00:00,1148.75,1149.85,1148.3,1148.9,27900
3791,2024-09-17 13:15:00,1148.9,1149.4,1148.1,1149.1,24300
3792,2024-09-17 13:30:00,1149.1,1152.0,1148.85,1151.5,45900
3793,2024-09-17 13:45:00,1151.95,1151.95,1150.4,1150.55,42300
3794,2024-09-17 14:00:00,1150.75,1151.7,1150.1,1150.45,33300
3795,2024-09-17 14:15:00,1150.5,1151.95,1149.6,1149.6,36900
3796,2024-09-17 14:30:00,1149.85,1150.15,1148.1,1148.65,44100
3797,2024-09-17 14:45:00,1148.35,1148.8,1147.45,1147.7,39600
3798,2024-09-17 15:00:00,1147.9,1148.75,1147.3,1147.35,52200
3799,2024-09-17 15:15:00,1147.4,1147.4,1144.35,1144.75,54000
3800,2024-09-18 09:15:00,1143.35,1145.7,1138.8,1141.2,100800
3801,2024-09-18 09:30:00,1141.2,1143.55,1140.15,1143.5,56700
3802,2024-09-18 09:45:00,1144.0,1144.7,1141.65,1141.85,29700
3803,2024-09-18 10:00:00,1141.25,1141.8,1138.05,1138.7,39600
3804,2024-09-18 10:15:00,1139.0,1141.0,1136.2,1137.2,54900
3805,2024-09-18 10:30:00,1137.8,1141.65,1137.8,1141.0,33300
3806,2024-09-18 10:45:00,1140.65,1141.05,1139.45,1139.45,20700
3807,2024-09-18 11:00:00,1139.45,1139.45,1136.35,1137.0,41400
3808,2024-09-18 11:15:00,1136.6,1136.6,1132.7,1133.7,53100
3809,2024-09-18 11:30:00,1133.7,1134.45,1132.7,1132.7,45000
3810,2024-09-18 11:45:00,1132.8,1135.05,1132.15,1132.65,37800
