,Date,Open,High,Low,Close,Volume
328,20250204  13:54:00,50088.5,50088.5,50039.0,50042.5,0
329,20250204  13:56:00,50046.0,50064.0,50018.5,50034.0,0
330,20250204  13:58:00,50033.0,50053.5,50017.0,50034.5,0
331,20250204  14:00:00,50036.0,50067.0,50029.5,50055.0,0
332,20250204  14:02:00,50057.0,50057.0,50029.0,50032.0,0
333,20250204  14:04:00,50035.0,50057.5,50023.0,50055.5,0
334,20250204  14:06:00,50058.0,50091.0,50047.5,50075.5,0
335,20250204  14:08:00,50074.5,50089.0,50060.0,50062.5,0
336,20250204  14:10:00,50064.0,50064.5,50009.0,50015.5,0
337,20250204  14:12:00,50018.0,50018.0,49912.5,49947.5,0
338,20250204  14:14:00,49953.5,49987.0,49933.5,49958.0,0
339,20250204  14:16:00,49954.5,49978.5,49947.5,49959.0,0
340,20250204  14:18:00,49960.5,49978.0,49938.5,49940.0,0
341,20250204  14:20:00,49945.0,49951.0,49904.0,49908.0,0
342,20250204  14:22:00,49911.5,49932.0,49888.0,49927.0,0
343,20250204  14:24:00,49949.5,49962.5,49915.5,49927.0,0
344,20250204  14:26:00,49931.5,49945.0,49909.0,49933.0,0
345,20250204  14:28:00,49936.0,49946.5,49907.0,49914.5,0
346,20250204  14:30:00,49916.0,49966.5,49902.5,49964.0,0
347,20250204  14:32:00,49964.5,49982.0,49951.0,49965.5,0
348,20250204  14:34:00,49964.0,50012.0,49953.5,49996.0,0
349,20250204  14:36:00,50006.0,50081.0,49993.0,50069.0,0
350,20250204  14:38:00,50073.5,50103.5,50052.0,50103.0,0
351,20250204  14:40:00,50102.0,50148.0,50093.0,50147.5,0
352,20250204  14:42:00,50147.0,50155.5,50108.0,50124.0,0
353,20250204  14:44:00,50124.5,50131.5,50073.5,50101.0,0
354,20250204  14:46:00,50097.0,50182.0,50077.5,50165.5,0
355,20250204  14:48:00,50162.5,50175.5,50122.5,50145.0,0
356,20250204  14:50:00,50148.0,50170.0,50132.0,50151.0,0
357,20250204  14:52:00,50153.5,50161.0,50130.5,50144.5,0
358,20250204  14:54:00,50143.5,50158.5,50136.0,50151.5,0
